"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"GO357096.1" 39.8693824749624 5.07587857069164 1.87333657592366 2.70953903101419 0.00673767771348531 0.0440265618888757
"GO357104.1" 54.7821007094392 -7.150436404991 2.46502929786125 -2.900751082835 0.00372269464281757 0.0334976313232373
"GO357107.1" 532.977341284853 -10.4338314819922 2.42725595174687 -4.29861196734654 1.71871070122968e-05 0.00123537840339028
"GO357136.1" 1470.02303584076 -6.44893550502251 2.08842590231736 -3.08794077772482 0.00201548631918353 0.0245777882701014
"GO357138.1" 5078.77150009154 7.3895023351741 2.09383632707515 3.52916903753236 0.000416866765948479 0.0104138362003203
"GO357250.1" 118.519090946172 -8.26444941678114 2.39466360583357 -3.45119431249064 0.000558111591971391 0.0123191048834158
"GO357280.1" 41.7324914708936 -6.75889323433653 2.43382876687925 -2.77706193891489 0.00548527248998611 0.0405024781302481
"GO357333.1" 18.2654585744764 9.79096937399968 2.66001050136432 3.68080102276961 0.00023250239331438 0.00740819089362147
"GO357340.1" 49.2017724284665 -6.99680706819503 2.42455727923774 -2.88580811355167 0.00390410107477404 0.0342005354308136
"GO357345.1" 190.165979313176 -8.94653580205878 2.67897430409781 -3.33953774337216 0.000839179466045454 0.0156048413810409
"GO357348.1" 32.3860777288953 7.64792362230512 2.21863953230555 3.44712311799366 0.000566590316039438 0.0124084056995022
"GO357350.1" 37.6652996741436 -6.61102785789645 2.44352097254618 -2.70553350356869 0.00681947688437694 0.0441250560524335
"GO357386.1" 2314.08566387856 -25.9453199395258 3.13171935268085 -8.28468870217116 1.18418416301703e-16 2.21304283665165e-13
"GO357398.1" 183.650233665356 -8.89621030363575 2.50204053670993 -3.55558200321322 0.000377143286389856 0.00974454219168595
"GO357414.1" 855.264861040789 5.49898113015055 2.02034823558161 2.72179866485617 0.00649276857803459 0.043259296331199
"GO357430.1" 69.443688809735 -7.49447393093413 2.47781583222318 -3.02462912435661 0.00248938182950193 0.0272592172404347
"GO357512.1" 559.827188821899 7.07700810475373 1.81540588189072 3.89830625500846 9.6867858632611e-05 0.00411431552593738
"GO357519.1" 48.4308331513624 -6.97371833698657 2.42155653542164 -2.87984948316406 0.00397865065834247 0.0345031785243574
"GO357528.1" 90.4728095369383 -7.87554250270403 2.39695977355182 -3.28563816114195 0.00101751627603825 0.0172608320774839
"GO357548.1" 98.0745886774463 -7.99163845428489 2.38203421721531 -3.3549637517917 0.000793753846320143 0.0152171848515636
"GO357618.1" 21.7389089972143 6.61305136061444 2.13822356985124 3.0927782547428 0.00198292240979798 0.0243532409431158
"GO357691.1" 742.825101835083 -7.97653967093038 2.00593100561297 -3.97647758004166 6.99435897673681e-05 0.00326028488139114
"GO357727.1" 44.5842376594079 -6.85433666287558 2.4282427372666 -2.82275596161828 0.00476127984119566 0.0378446584013056
"GO357887.1" 64.2718586282367 -7.38294339837237 2.66590387016863 -2.76939595646612 0.00561603379851125 0.0409178602876587
"GO357971.1" 120.660512308809 -8.29114384130167 2.67395623647135 -3.10070289416665 0.00193061897048239 0.0241069382138296
"GO358066.1" 222.894950422739 -9.17632016142452 2.47321612729727 -3.71027831338476 0.000207031520825034 0.00695043246410512
"GO358092.1" 58.4227804669991 11.490497472224 2.42078799154662 4.74659388279717 2.06870726639242e-06 0.00025213494106585
"GO358093.1" 58.4227804669991 11.490497472224 2.42078799154662 4.74659388279717 2.06870726639242e-06 0.00025213494106585
"GO358104.1" 13.2514626773753 9.35307502131839 2.65725947651385 3.51981998897187 0.000431839776985713 0.0105037297599584
"GO358153.1" 51.0547927581273 -7.05107928711121 2.65134983750966 -2.6594299957542 0.0078272994319713 0.0470855732460806
"GO358277.1" 51.22062416977 -7.05527731764323 2.44447339231005 -2.88621563230677 0.00389904917993213 0.0341829855000618
"GO358295.1" 35.2686080591237 -6.51739047750024 2.48501396061648 -2.6226776109875 0.00872417818621518 0.0498848597664614
"GO358339.1" 57.3115624054162 -7.21704513444247 2.42022648239612 -2.98197097954953 0.00286399145736478 0.0291734374216959
"GO358359.1" 52.4034511526067 -7.08732141768298 2.41574303964751 -2.93380599731216 0.00334833422361817 0.0319259112665226
"GO358394.1" 262.22883412284 -9.41068420845541 2.74924680589495 -3.42300450737161 0.000619330503412963 0.0133271770042037
"GO358428.1" 83.0186363396011 -7.75199894470204 2.58476989810614 -2.99910601341417 0.00270773072372933 0.0285395685152213
"GO358449.1" 32118.6461797444 -6.47332872586373 1.9759615409835 -3.27603983761836 0.00105273710313482 0.0174765828877706
"GO358464.1" 16.2386588309816 9.61979916565645 2.98892610187632 3.21848009544885 0.0012887191483506 0.0195390980201913
"GO358530.1" 63.2023178585329 -7.35792204024705 2.40562345245169 -3.05863414856062 0.00222348504251413 0.0259707685226156
"GO358537.1" 40.8041568554331 -6.72691549444672 2.44091732796174 -2.75589648915474 0.00585315168641602 0.0415125805564724
"GO358552.1" 39.8117549007894 -6.69094672110577 2.43814098931942 -2.74428211921144 0.00606433960419203 0.0422287765632401
"GO358606.1" 87.7910432135019 -7.83257022655951 2.49681115481789 -3.13702949117544 0.00170668959340421 0.0226474679418242
"GO358656.1" 44.3210056798746 -6.84564346763022 2.4287632856587 -2.81857170192427 0.00482378359201843 0.038091308707147
"GO358837.1" 8074.83787137232 -14.3549347175982 2.62403508585744 -5.47055746128009 4.48622221935882e-08 8.38400162427841e-06
"GO358881.1" 4612.02357692994 -5.38534372815551 1.91081960888825 -2.81834229830245 0.00482723175536038 0.038091308707147
"GO359074.1" 47.7660340543061 -6.9551243416005 2.56856509473216 -2.707785897996 0.00677337030147563 0.0440692855198977
"GO359235.1" 1500.06028061763 9.57033374795298 1.7976719220433 5.32373768016302 1.01656474721417e-07 1.8265276494305e-05
"GO359276.1" 54.8982579388258 -7.15434270405556 2.41314958348351 -2.96473237839151 0.0030294634625584 0.0303027420211127
"GO359320.1" 95.7442916218195 -7.95629852189967 2.44169086960198 -3.25851999569324 0.00111994983527627 0.018332843070004
"GO359328.1" 245.903828592202 -9.31800567634033 2.44214679643426 -3.81549777840767 0.000135908678899127 0.00525497936722727
"GO359466.1" 166.847138003107 -5.85856294832247 2.10220447190411 -2.78686637128879 0.00532204200745144 0.0400779429345554
"GO359590.1" 45.265194271384 11.1349256875374 2.82617842420438 3.93992311036487 8.15077287300331e-05 0.00366041706572603
"GO359593.1" 1470.02303584076 -6.44893550502251 2.08842590231736 -3.08794077772482 0.00201548631918353 0.0245777882701014
"GO359642.1" 146.644110760601 8.08209968847432 1.95138536351829 4.14172404875607 3.44704922043637e-05 0.00210469330124538
"GO359651.1" 37.6176934170954 -6.60974418729574 2.45079418973982 -2.69698051960758 0.00699713635315621 0.0446780097292594
"GO359652.1" 44.0662856583453 -6.83715002850101 2.43079437841129 -2.81272249484533 0.00491240253347941 0.0384656212345702
"GO359672.1" 320.89404146217 -5.76061650198186 1.99815462369669 -2.88296833171219 0.0039394704347722 0.0343493639075433
"GO359684.1" 16.3689266372766 9.63633908606261 2.63936887701757 3.65100125638802 0.000261219961986976 0.00787381568215044
"GO359721.1" 142.428820060462 -8.53026393625185 2.41273687043378 -3.53551356585279 0.000406983347980675 0.0102762194216761
"GO359781.1" 33735.4044810124 -8.08328076048667 1.81540442027384 -4.45260608061502 8.48343046970079e-06 0.000709885864602649
"HE681860.1" 51.0995722427906 -7.05155963374275 2.42715964841756 -2.90527227508094 0.0036693375147345 0.0333736147951671
"HO068391.1" 66.2603873235021 -7.42648125055166 2.42383169167032 -3.06394263103058 0.0021844079486644 0.0258645895758965
"HO068392.1" 11.4973289879822 9.12852849496861 2.71772301464414 3.35888846868521 0.000782566444789717 0.0151371360541403
